name;system_attribute;id
Alfa Romeo;true;1
Audi;true;2
Bentley;true;3
BMW;true;4
Bugatti;true;5
BYD;true;6
Cadillac;true;7
Chevrolet;true;8
Chrysler;true;9
Cenntro;true;10
Citroen;true;11
Dodge;true;12
DONGFANG;true;13
Ferrari;true;14
Fiat;true;15
Ford;true;16
Geely;true;17
GMC;true;18
Hyundai;true;19
Infiniti;true;20
Isuzu;true;21
Iveco;true;22
Jaguar;true;23
Jeep;true;24
Kia;true;25
Lamborghini;true;26
Land Rover;true;27
Lexus;true;28
Lucid;true;29
Mahindra;true;30
Maserati;true;31
Maybach;true;32
MAZDA;true;33
McLaren;true;34
Mercedes-Benz;true;35
Mercury;true;36
MINI;true;37
Mitsubishi;true;38
Nissan;true;39
Opel;true;40
Pagani;true;41
Panoz;true;42
Peugeot;true;43
Porsche;true;44
Renault;true;45
Rolls-Royce;true;46
Subaru;true;47
Suzuki;true;48
Tesla;true;49
Toyota;true;50
Volkswagen;true;51
Volvo;true;52
