name;make_id;system_attribute
Model S;49;true
Phantom;46;true
Ghost;46;true
Wraith;46;true
Quattroporte;31;true
Granturismo;31;true
Sprinter;35;true
128i;4;true
135i;4;true
328i;4;true
M3;4;true
335i;4;true
335is;4;true
335d;4;true
X6;4;true
528i;4;true
535i;4;true
X5;4;true
550i;4;true
X3;4;true
740i;4;true
740Li;4;true
750i;4;true
750Li;4;true
760Li;4;true
Z4;4;true
750xi;4;true
750Lxi;4;true
M6;4;true
528xi;4;true
640i;4;true
650i;4;true
650xi;4;true
Veyron;5;true
G 450 X;4;true
F 800 S;4;true
F 800 ST;4;true
F 800 GS;4;true
F 800 R;4;true
HP2;4;true
S 1000 RR;4;true
R 1200 GS;4;true
R 1200 R;4;true
R 1200 RT;4;true
K 1300 S;4;true
K 1300 GT;4;true
K 1300 R;4;true
F 650 GS;4;true
G 650 GS;4;true
R 900 RT;4;true
K 1600 GT;4;true
K 1600 GTL;4;true
F 700 GS;4;true
F 800 GT;4;true
C 600;4;true
C 650 GT;4;true
HP4;4;true
S 1000 R;4;true
R nineT;4;true
Cooper;37;true
Clubman;37;true
Crown Victoria;16;true
Focus;16;true
Fusion;16;true
Mustang;16;true
Taurus;16;true
Grand Marquis;36;true
Milan;36;true
E-150;16;true
Edge;16;true
Escape;16;true
Expedition;16;true
Explorer;16;true
F-150;16;true
Flex;16;true
Ranger;16;true
Explorer Sport Trac;16;true
F-250;16;true
F-350;16;true
F-450;16;true
F-550;16;true
F-650;16;true
F-750;16;true
Transit Connect;16;true
Mariner;36;true
Mountaineer;36;true
E-250;16;true
E-350;16;true
E-450;16;true
Expedition MAX;16;true
ATS;7;true
CTS;7;true
ELR;7;true
XTS;7;true
Aveo;8;true
Camaro;8;true
Caprice Police Vehicle;8;true
Corvette;8;true
Cruze;8;true
Impala;8;true
Malibu;8;true
Sonic;8;true
Spark;8;true
SS;8;true
Volt;8;true
Ampera;40;true
Escalade;7;true
SRX;7;true
Captiva Sport;8;true
Equinox;8;true
Express;8;true
Orlando;8;true
Silverado;8;true
Suburban;8;true
Tahoe;8;true
Traverse;8;true
Tracker;8;true
Acadia;18;true
Savana;18;true
Sierra;18;true
Terrain;18;true
Yukon;18;true
Tribute;33;true
Hardtop;37;true
Cirrus;9;true
Sebring;9;true
300;9;true
Countryman;37;true
Cooper Coupe;37;true
GT-R;39;true
Avenger;12;true
Challenger;12;true
Versa;39;true
Charger;12;true
Caliber;12;true
Viper;12;true
Versa Note;39;true
QX50;20;true
Q40;20;true
Q50;20;true
Q60;20;true
Q70;20;true
Altima;39;true
Leaf;39;true
370Z;39;true
Sentra;39;true
QX70;20;true
QX80;20;true
QX60;20;true
Pathfinder;39;true
Juke;39;true
Rogue;39;true
Murano;39;true
Armada;39;true
Xterra;39;true
Quest;39;true
NV200;39;true
Frontier;39;true
Titan;39;true
City Express;8;true
NV;39;true
Cooper Roadster;37;true
Paceman;37;true
Town and Country;9;true
Grand Voyager;9;true
Ram;12;true
Journey;12;true
Nitro;12;true
Dakota;12;true
Caravan/Grand Caravan;12;true
Wrangler;24;true
Liberty;24;true
Cherokee;24;true
Compass;24;true
Patriot;24;true
Commander;24;true
Grand Cherokee;24;true
Raider;38;true
Routan;51;true
Ram Chassis Cab;12;true
S60;52;true
S80;52;true
V60;52;true
XC60;52;true
XC70;52;true
1M;4;true
ActiveE;4;true
M5;4;true
4C;1;true
500L;15;true
Q70L;20;true
200;9;true
Dart;12;true
500;15;true
Equus;19;true
Santa Fe;19;true
Tucson;19;true
Murcielago;26;true
Gallardo;26;true
Roadster;49;true
MX-5;33;true
RX-8;33;true
Mazda3;33;true
Mazda5;33;true
CX-7;33;true
CX-9;33;true
Mazda6;33;true
SL-Class;35;true
SLK-Class;35;true
E-Class;35;true
CLS-Class;35;true
CLA-Class;35;true
GLA-Class;35;true
C-Class;35;true
S-Class;35;true
SLS-Class;35;true
DR200SE;48;true
GZ250;48;true
AN400 / AN400S;48;true
DR-Z400SL;48;true
GSX600F/GSX600FT;48;true
GSX-R600L;48;true
GSF650S;48;true
GSF650SA;48;true
DR650SEL;48;true
SV650/SV650S/SV650SF;48;true
AN650L;48;true
AN650A;48;true
LS650L;48;true
DL650L;48;true
GSX750F/GSX750FT;48;true
B-Class;35;true
VS800;48;true
VZ800/VZ800Z;48;true
VL800 / VL800T / VL800C/VL800B;48;true
DL1000;48;true
SV1000 / SV1000S;48;true
GSX-R1000L;48;true
GSF1250S;48;true
GSX1300R;48;true
VS1400/VS1400GL;48;true
VL1500 / VL1500T;48;true
